id,estate,town,school,km,car_am_min,pt_am_min,adv_am_min,depart_car,depart_pt,car_pm_min,pt_pm_min,arrive_car,arrive_pt,adv_day_min
1,Choa Chu Kang – Choa Chu Kang Crescent,Choa Chu Kang,Ngee Ann Secondary School,23.77,49.9,82.8,32.9,06:40,06:07,45.1,85.8,16:45,17:26,73.6
2,Toa Payoh – Joo Seng Road,Toa Payoh,Westwood Secondary School,19.96,43.1,74.8,31.7,06:47,06:15,39.0,77.8,16:39,17:18,70.4
3,Central Area – Upper Cross Street,Central Area,Hougang Secondary School,11.25,28.1,56.9,28.8,07:02,06:33,25.6,59.9,16:26,17:00,63.0
4,Sengkang – Fernvale Link,Sengkang,Yuan Ching Secondary School,18.52,40.6,71.8,31.2,06:49,06:18,36.8,74.8,16:37,17:15,69.2
5,Tengah – Sungei Tengah Road,Tengah,School Of The Arts,16.41,36.9,67.4,30.5,06:53,06:23,33.5,70.4,16:34,17:10,67.4
6,Jurong West – Jurong West Street 61,Jurong West,Admiralty Secondary School,16.52,37.1,67.7,30.5,06:53,06:22,33.7,70.7,16:34,17:11,67.5
7,Bukit Merah – Redhill Close,Bukit Merah,Chij Saint Joseph'S Convent,14.98,34.5,64.5,30.0,06:56,06:26,31.3,67.5,16:31,17:08,66.2
8,Kallang/Whampoa – Lorong 3 Geylang,Kallang/Whampoa,Chij Our Lady Of Good Counsel,5.16,17.4,38.5,21.1,07:13,06:52,16.1,40.5,16:16,16:40,45.6
9,Tampines – Tampines Street 21,Tampines,Anderson Secondary School,11.29,28.2,57.0,28.8,07:02,06:33,25.7,60.0,16:26,17:00,63.1
10,Tengah – Sungei Tengah Road,Tengah,New Town Secondary School,10.01,26.0,49.3,23.3,07:04,06:41,23.7,51.3,16:24,16:51,50.9
11,Jurong East – Jurong East Street 21,Jurong East,Raffles Institution,10.91,27.5,51.2,23.7,07:02,06:39,25.1,53.2,16:25,16:53,51.7
12,Jurong West – Jurong West Street 91,Jurong West,Pasir Ris Crest Secondary School,30.21,61.5,96.6,35.1,06:28,05:53,55.4,99.6,16:55,17:40,79.3
13,Punggol – Punggol Field,Punggol,Presbyterian High School,7.4,21.5,43.7,22.3,07:08,06:46,19.7,45.7,16:20,16:46,48.3
14,Toa Payoh – Potong Pasir Avenue 1,Toa Payoh,Bukit View Secondary School,12.7,30.6,59.8,29.3,06:59,06:30,27.8,62.8,16:28,17:03,64.3
15,Punggol – Northshore Drive,Punggol,Cedar Girls' Secondary School,9.86,25.7,49.0,23.3,07:04,06:41,23.5,51.0,16:24,16:51,50.8
16,Woodlands – Woodlands Street 83,Woodlands,Methodist Girls' School,12.23,29.8,58.9,29.1,07:00,06:31,27.1,61.9,16:27,17:02,63.9
