blk_no,street,town_code,town,lat,lon,total_dwelling_units,max_floor_lvl,year_completed
1,BEACH RD,KWN,KALLANG/WHAMPOA,1.2950974078933999,103.85406834456998,142,16,1970
1,BEDOK STH AVE 1,BD,BEDOK,1.3208520868973301,103.933721091441,206,14,1975
1,CANTONMENT RD,CT,CENTRAL AREA,1.27549895431694,103.841398475091,0,2,2010
1,CHAI CHEE RD,BD,BEDOK,1.32796879176303,103.922716018139,102,15,1982
1,CHANGI VILLAGE RD,PRC,PASIR RIS,1.38854656229023,103.987804503483,55,4,1975
1,DELTA AVE,BM,BUKIT MERAH,1.29207525084313,103.828584077626,96,25,1982
1,DOVER RD,QT,QUEENSTOWN,1.30252994734952,103.78327166245899,125,12,1975
1,EUNOS CRES,GL,GEYLANG,1.32065764524822,103.90246344511,247,14,1977
1,EVERTON PK,BM,BUKIT MERAH,1.27742654288698,103.840001188095,95,12,1965
1,GEYLANG SERAI,GL,GEYLANG,1.31667885583163,103.898102655979,0,2,2009
1,GHIM MOH RD,QT,QUEENSTOWN,1.31287975684312,103.786855017635,220,15,1975
1,HAIG RD,GL,GEYLANG,1.31129091152628,103.897703432652,219,15,1976
1,HOLLAND CL,QT,QUEENSTOWN,1.30921937771546,103.796732386696,319,13,1973
1,HOUGANG AVE 3,HG,HOUGANG,1.36413097349222,103.89300132385,204,14,1974
1,JLN KUKOH,CT,CENTRAL AREA,1.28823101528053,103.839934168065,84,17,1969
1,JLN BT MERAH,BM,BUKIT MERAH,1.28645354030176,103.808242400418,244,14,1974
1,JOO CHIAT RD,GL,GEYLANG,1.31593802099835,103.898397565472,0,5,1984
1,KEMPAS RD,KWN,KALLANG/WHAMPOA,1.28578886408588,103.84983630609399,0,1,2025
1,KG KAYU RD,KWN,KALLANG/WHAMPOA,1.3035576967563,103.883796413118,107,10,1963
1,LOR 7 TOA PAYOH,TP,TOA PAYOH,1.3394303354336001,103.85344279099199,196,11,1968
1,LOR LEW LIAN,SGN,SERANGOON,1.35086712646949,103.87534393967199,179,14,1977
1,MARINE TER,MP,MARINE PARADE,1.30482902187781,103.918614976369,96,25,1974
1,MARSILING DR,WL,WOODLANDS,1.4406710986024698,103.77573994521299,159,11,1973
1,MAUDE RD,KWN,KALLANG/WHAMPOA,1.3075823020608999,103.858967398343,176,14,1970
1,PINE CL,GL,GEYLANG,1.3078705621941003,103.88319216492701,156,19,1998
1,PUNGGOL DR,PG,PUNGGOL,1.29396588639808,103.876995114944,0,6,2022
1,QUEEN'S RD,BT,BUKIT TIMAH,1.31726629524361,103.806782877524,88,23,1974
1,ST. GEORGE'S RD,KWN,KALLANG/WHAMPOA,1.3234026369407,103.86163080083,154,12,1975
1,TAMPINES WALK,TAP,TAMPINES,1.35218046898785,103.94059800151899,0,7,2016
1,TECK WHYE AVE,CCK,CHOA CHU KANG,1.38253882861959,103.75171090567801,118,13,1983
1,TELOK BLANGAH CRES,BM,BUKIT MERAH,1.2794566007733001,103.817897561986,148,16,1973
1,TG PAGAR PLAZA,CT,CENTRAL AREA,1.27625903973355,103.842923496499,163,24,1976
1,THOMSON RD,KWN,KALLANG/WHAMPOA,1.3255711309613702,103.84249383532101,8,4,1977
1,TOH YI DR,BT,BUKIT TIMAH,1.3395815587706599,103.77458631894599,132,13,1987
1,UPP ALJUNIED LANE,TP,TOA PAYOH,1.33429242358055,103.878746206637,0,1,2003
1,WOODLANDS IND PK E3,WL,WOODLANDS,1.45488870718178,103.80025404405599,0,2,1994
1A,CANTONMENT RD,CT,CENTRAL AREA,1.2778427104821999,103.840965923691,264,50,2009
1A,EUNOS CRES,GL,GEYLANG,1.3212903048279299,103.902727807563,2,2,1981
1A,EVERTON PK,BM,BUKIT MERAH,1.27719057474479,103.840257670063,0,1,2000
1A,KEMPAS RD,KWN,KALLANG/WHAMPOA,1.28814295807298,103.84893383249799,135,30,2025
1A,TELOK PAKU RD,PRC,PASIR RIS,1.3879665862418602,103.988298872524,0,5,2015
1A,TELOK BLANGAH CRES,BM,BUKIT MERAH,1.27960681823772,103.817790528392,0,1,2005
1A,THOMSON RD,KWN,KALLANG/WHAMPOA,1.3257612790349098,103.84305408255301,0,1,1980
1A,TOH YI DR,BT,BUKIT TIMAH,1.33904480982038,103.774300403826,0,4,1988
1B,CANTONMENT RD,CT,CENTRAL AREA,1.27779940676007,103.841403430465,264,50,2009
