estate,town,lat,lon,hdb_blocks
Ang Mo Kio – Ang Mo Kio Avenue 10,Ang Mo Kio,1.36711,103.856513,25
Ang Mo Kio – Ang Mo Kio Avenue 3,Ang Mo Kio,1.367975,103.839589,13
Ang Mo Kio – Ang Mo Kio Avenue 4,Ang Mo Kio,1.377851,103.839091,14
Ang Mo Kio – Ang Mo Kio Avenue 6,Ang Mo Kio,1.371424,103.847005,29
Bedok – Bedok North Street 2,Bedok,1.330439,103.938535,48
Bedok – Bedok North Street 3,Bedok,1.332551,103.926927,33
Bedok – Bedok South Avenue 2,Bedok,1.323188,103.934773,35
Bedok – East Coast Road,Bedok,1.311743,103.923293,3
Bedok – Jalan Tenaga,Bedok,1.331806,103.906014,6
Bedok – Lengkong Tiga,Bedok,1.323364,103.911515,7
Bedok – New Upper Changi Road,Bedok,1.325065,103.941239,21
Bishan – Bishan Street 13,Bishan,1.347553,103.852876,64
Bishan – Bishan Street 22,Bishan,1.35941,103.843254,44
Bishan – Bishan Street 23,Bishan,1.357002,103.847816,35
Bukit Batok – Bukit Batok East Avenue 4,Bukit Batok,1.348652,103.756088,40
Bukit Batok – Bukit Batok Street 31,Bukit Batok,1.361559,103.748478,100
Bukit Batok – Bukit Batok West Avenue 6,Bukit Batok,1.348409,103.745494,105
Bukit Merah – Jalan Bukit Merah,Bukit Merah,1.276217,103.824965,43
Bukit Merah – Lengkok Bahru,Bukit Merah,1.287308,103.809839,20
Bukit Merah – Lim Liak Street,Bukit Merah,1.286016,103.829841,54
Bukit Merah – Redhill Close,Bukit Merah,1.286048,103.819125,35
Bukit Merah – Telok Blangah Heights,Bukit Merah,1.276042,103.808816,12
Bukit Panjang – Fajar Road,Bukit Panjang,1.383704,103.76659,107
Bukit Panjang – Petir Road,Bukit Panjang,1.376662,103.770714,126
Central Area – Klang Lane,Central Area,1.308192,103.85373,11
Central Area – Tanjong Pagar Plaza,Central Area,1.276232,103.842803,6
Central Area – Upper Cross Street,Central Area,1.284563,103.843506,17
Central Area – Waterloo Street,Central Area,1.300158,103.85187,6
Choa Chu Kang – Choa Chu Kang Avenue 4,Choa Chu Kang,1.378426,103.738106,67
Choa Chu Kang – Choa Chu Kang Central,Choa Chu Kang,1.381667,103.743576,104
Choa Chu Kang – Choa Chu Kang Crescent,Choa Chu Kang,1.402366,103.748343,73
Choa Chu Kang – Choa Chu Kang North 6,Choa Chu Kang,1.396142,103.74695,70
Choa Chu Kang – Choa Chu Kang Street 51,Choa Chu Kang,1.391404,103.743406,53
Choa Chu Kang – Teck Whye Lane,Choa Chu Kang,1.379529,103.752231,59
Clementi – Clementi Avenue 3,Clementi,1.315011,103.767283,93
Clementi – Clementi West Street 2,Clementi,1.305032,103.764182,33
Geylang – Aljunied Avenue 2,Geylang,1.321569,103.886201,14
Geylang – Aljunied Crescent,Geylang,1.319614,103.884039,16
Geylang – Cassia Crescent,Geylang,1.308963,103.88348,17
Geylang – Circuit Road,Geylang,1.327618,103.886531,17
Geylang – Circuit Road,Geylang,1.324233,103.88757,18
Geylang – Eunos Crescent,Geylang,1.322883,103.903496,12
Geylang – Eunos Road 5,Geylang,1.317553,103.89862,11
Geylang – Paya Lebar Way,Geylang,1.322655,103.883097,8
Geylang – Sims Drive,Geylang,1.317025,103.876334,5
Hougang – Hougang Avenue 1,Hougang,1.352686,103.886489,63
Hougang – Hougang Avenue 3,Hougang,1.362671,103.890292,39
Hougang – Hougang Avenue 5,Hougang,1.36922,103.896429,62
Hougang – Hougang Avenue 8,Hougang,1.372112,103.880991,55
Hougang – Hougang Avenue 8,Hougang,1.371718,103.886125,58
Hougang – Hougang Street 51,Hougang,1.377576,103.891658,106
Hougang – Hougang Street 91,Hougang,1.378138,103.880671,70
Jurong East – Jurong East Street 21,Jurong East,1.340544,103.737728,29
Jurong East – Jurong East Street 21,Jurong East,1.338737,103.744702,17
Jurong East – Jurong East Street 24,Jurong East,1.342267,103.740859,27
Jurong East – Jurong East Street 31,Jurong East,1.348784,103.730834,34
Jurong East – Pandan Gardens,Jurong East,1.31944,103.748473,14
Jurong East – Teban Gardens Road,Jurong East,1.320952,103.740108,27
Jurong West – Jurong West Central 1,Jurong West,1.34309,103.704007,62
Jurong West – Jurong West Street 42,Jurong West,1.35135,103.724805,40
Jurong West – Jurong West Street 42,Jurong West,1.350147,103.718046,72
Jurong West – Jurong West Street 61,Jurong West,1.338072,103.700103,92
Jurong West – Jurong West Street 74,Jurong West,1.348722,103.700227,39
Jurong West – Jurong West Street 81,Jurong West,1.34458,103.695112,90
Jurong West – Jurong West Street 91,Jurong West,1.341643,103.689383,50
Jurong West – Tah Ching Road,Jurong West,1.337309,103.721971,46
Jurong West – Yung Ping Road,Jurong West,1.32842,103.721775,13
Kallang/Whampoa – Cambridge Road,Kallang/Whampoa,1.31579,103.84965,11
Kallang/Whampoa – Dakota Crescent,Kallang/Whampoa,1.308173,103.888233,8
Kallang/Whampoa – Geylang Bahru,Kallang/Whampoa,1.32235,103.868745,21
Kallang/Whampoa – Jalan Ma'Mor,Kallang/Whampoa,1.327875,103.856831,18
Kallang/Whampoa – Kampong Arang Road,Kallang/Whampoa,1.300497,103.883962,2
Kallang/Whampoa – King George'S Avenue,Kallang/Whampoa,1.308136,103.860904,8
Kallang/Whampoa – Lorong 3 Geylang,Kallang/Whampoa,1.312564,103.873797,5
Kallang/Whampoa – Race Course Road,Kallang/Whampoa,1.314982,103.857688,8
Kallang/Whampoa – Saint George'S Road,Kallang/Whampoa,1.322012,103.861364,22
Pasir Ris – Changi Village Road,Pasir Ris,1.388821,103.987634,2
Pasir Ris – Elias Road,Pasir Ris,1.376344,103.940682,35
Pasir Ris – Pasir Ris Drive 10,Pasir Ris,1.38047,103.937648,45
Pasir Ris – Pasir Ris Drive 6,Pasir Ris,1.372448,103.956797,56
Pasir Ris – Pasir Ris Street 11,Pasir Ris,1.367033,103.956346,45
Pasir Ris – Pasir Ris Street 21,Pasir Ris,1.365216,103.961753,80
Pasir Ris – Pasir Ris Street 21,Pasir Ris,1.371927,103.961713,52
Pasir Ris – Pasir Ris Street 51,Pasir Ris,1.368696,103.951297,42
Pasir Ris – Pasir Ris Street 53,Pasir Ris,1.374243,103.946773,19
Pasir Ris – Pasir Ris Street 71,Pasir Ris,1.376694,103.935062,41
Punggol – Edgedale Plains,Punggol,1.394825,103.912662,79
Punggol – Northshore Drive,Punggol,1.418066,103.903659,49
Punggol – Punggol Drive,Punggol,1.402485,103.913205,98
Punggol – Punggol Drive,Punggol,1.404659,103.907787,103
Punggol – Punggol East,Punggol,1.399366,103.91897,54
Punggol – Punggol Field,Punggol,1.397827,103.907791,108
Punggol – Punggol Place,Punggol,1.400951,103.901835,87
Punggol – Punggol Road,Punggol,1.390851,103.900652,41
Punggol – Sumang Lane,Punggol,1.403323,103.895538,104
Punggol – Sumang Walk,Punggol,1.409652,103.899446,92
Queenstown – Commonwealth Crescent,Queenstown,1.307384,103.797231,30
Queenstown – Ghim Moh Road,Queenstown,1.309641,103.789958,18
Queenstown – Stirling Road,Queenstown,1.295132,103.802869,29
Queenstown – Strathmore Avenue,Queenstown,1.29383,103.8099,9
Sembawang – Canberra Drive,Sembawang,1.438905,103.830556,43
Sembawang – Canberra Road,Sembawang,1.449795,103.818925,111
Sembawang – Canberra Street,Sembawang,1.447072,103.831802,88
Sengkang – Anchorvale Road,Sengkang,1.393903,103.888876,186
Sengkang – Compassvale Lane,Sengkang,1.385455,103.900095,131
Sengkang – Compassvale Link,Sengkang,1.386349,103.893483,154
Sengkang – Compassvale Street,Sengkang,1.394509,103.898611,142
Sengkang – Fernvale Link,Sengkang,1.394107,103.878829,112
Sengkang – Fernvale Road,Sengkang,1.391343,103.873017,120
Sengkang – Rivervale Crescent,Sengkang,1.389695,103.907037,156
Serangoon – Serangoon Avenue 3,Serangoon,1.353825,103.870074,71
Serangoon – Serangoon Central,Serangoon,1.348784,103.874495,36
Serangoon – Serangoon North Avenue 4,Serangoon,1.371394,103.873478,83
Tampines – Simei Street 1,Tampines,1.345039,103.954608,100
Tampines – Tampines Street 12,Tampines,1.349009,103.946549,54
Tampines – Tampines Street 21,Tampines,1.354755,103.951091,87
Tampines – Tampines Street 32,Tampines,1.35371,103.958959,97
Tampines – Tampines Street 45,Tampines,1.360835,103.954485,104
Tampines – Tampines Street 81,Tampines,1.348919,103.932378,14
Tengah – Plantation Crescent,Tengah,1.355431,103.734921,23
Tengah – Sungei Tengah Road,Tengah,1.384736,103.731133,6
Tengah – Sungei Tengah Road,Tengah,1.397474,103.730212,9
Tengah – Sungei Tengah Road,Tengah,1.379899,103.728884,7
Tengah – Sungei Tengah Road,Tengah,1.394323,103.728618,4
Tengah – Sungei Tengah Road,Tengah,1.383288,103.726406,7
Tengah – Sungei Tengah Road,Tengah,1.390181,103.732412,2
Tengah – Tengah Drive,Tengah,1.358487,103.735279,31
Tengah – Tengah Garden Avenue,Tengah,1.356819,103.732346,16
Toa Payoh – Joo Seng Road,Toa Payoh,1.334541,103.88018,7
Toa Payoh – Kim Keat Link,Toa Payoh,1.331865,103.856843,23
Toa Payoh – Lorong 4 Toa Payoh,Toa Payoh,1.33807,103.85057,41
Toa Payoh – Potong Pasir Avenue 1,Toa Payoh,1.334594,103.865942,42
Woodlands – Marsiling Rise,Woodlands,1.438752,103.778692,54
Woodlands – Woodlands Drive 16,Woodlands,1.4329,103.789991,75
Woodlands – Woodlands Drive 75,Woodlands,1.443448,103.802957,96
Woodlands – Woodlands Ring Road,Woodlands,1.435666,103.798242,102
Woodlands – Woodlands Street 41,Woodlands,1.431079,103.776288,104
Woodlands – Woodlands Street 83,Woodlands,1.44244,103.792943,125
Yishun – Yishun Avenue 6,Yishun,1.426385,103.847165,43
Yishun – Yishun Street 11,Yishun,1.429317,103.833543,71
Yishun – Yishun Street 22,Yishun,1.435671,103.837167,51
Yishun – Yishun Street 81,Yishun,1.417302,103.836572,87
