estate,town,lat,lon,hdb_blocks,dwelling_units
Ang Mo Kio – Ang Mo Kio Ave 10 (1),Ang Mo Kio,1.372228,103.853912,98,11942
Ang Mo Kio – Ang Mo Kio Ave 3,Ang Mo Kio,1.367594,103.845087,118,11636
Ang Mo Kio – Ang Mo Kio Ave 10 (2),Ang Mo Kio,1.365059,103.854747,89,11209
Ang Mo Kio – Ang Mo Kio Ave 4 (1),Ang Mo Kio,1.378779,103.839899,73,9441
Ang Mo Kio – Ang Mo Kio Ave 4 (2),Ang Mo Kio,1.370104,103.837228,73,7141
Bedok – Bedok Nth St 3,Bedok,1.331564,103.930135,84,10856
Bedok – Bedok Reservoir Rd (1),Bedok,1.331628,103.910519,136,10500
Bedok – Bedok Sth Ave 2,Bedok,1.323257,103.93525,84,7421
Bedok – Chai Chee Rd,Bedok,1.326897,103.924169,86,10896
Bedok – Bedok Sth Rd,Bedok,1.321223,103.943078,68,6144
Bedok – Bedok Nth Rd,Bedok,1.331356,103.938612,103,11830
Bedok – Bedok Reservoir Rd (2),Bedok,1.334758,103.921467,70,6868
Bishan – Bishan St 22,Bishan,1.358085,103.845212,103,6880
Bishan – Bishan St 13,Bishan,1.34708,103.852209,124,8307
Bishan – Sin Ming Ave,Bishan,1.360786,103.832937,30,2385
Bishan – Shunfu Rd,Bishan,1.352462,103.838007,21,2152
Bukit Batok – Bt Batok West Ave 8,Bukit Batok,1.355574,103.740996,97,11110
Bukit Batok – Bt Batok West Ave 6,Bukit Batok,1.347681,103.745856,137,11639
Bukit Batok – Bt Batok East Ave 5,Bukit Batok,1.347718,103.756243,145,12169
Bukit Batok – Bt Batok St 31,Bukit Batok,1.361548,103.749144,140,12149
Bukit Merah – Telok Blangah Cres,Bukit Merah,1.275273,103.822319,66,8280
Bukit Merah – Havelock Rd,Bukit Merah,1.28848,103.827667,125,10572
Bukit Merah – Depot Rd,Bukit Merah,1.276043,103.809735,97,9080
Bukit Merah – Cantonment Cl,Bukit Merah,1.275033,103.838318,31,2745
Bukit Merah – Lengkok Bahru,Bukit Merah,1.287476,103.813343,100,8722
Bukit Merah – Jln Bt Merah,Bukit Merah,1.281844,103.826723,145,13810
Bukit Panjang – Petir Rd,Bukit Panjang,1.377435,103.77031,168,14233
Bukit Panjang – Segar Rd,Bukit Panjang,1.386467,103.769837,140,10805
Bukit Panjang – Senja Rd,Bukit Panjang,1.385009,103.761766,126,12148
Bukit Timah – Queen'S Rd,Bukit Timah,1.318609,103.808078,2,335
Bukit Timah – Toh Yi Dr (1),Bukit Timah,1.338279,103.772625,6,605
Bukit Timah – Empress Rd,Bukit Timah,1.316413,103.80538,3,188
Bukit Timah – Toh Yi Dr (2),Bukit Timah,1.339314,103.774897,5,291
Bukit Timah – Toh Yi Dr (3),Bukit Timah,1.338062,103.774694,5,450
Bukit Timah – Farrer Rd,Bukit Timah,1.31722,103.807361,5,321
Bukit Timah – Toh Yi Dr (4),Bukit Timah,1.339491,103.772575,5,368
Central Area – Queen St,Central Area,1.300459,103.852363,17,1415
Central Area – Upp Cross St,Central Area,1.282779,103.843895,17,1926
Central Area – Tg Pagar Plaza,Central Area,1.27658,103.841854,16,2935
Central Area – Jln Kukoh,Central Area,1.287428,103.839814,20,3005
Central Area – Veerasamy Rd,Central Area,1.306785,103.854693,31,2738
Choa Chu Kang – Choa Chu Kang Ave 5,Choa Chu Kang,1.377985,103.738205,96,7900
Choa Chu Kang – Choa Chu Kang Cres,Choa Chu Kang,1.401487,103.748281,124,10244
Choa Chu Kang – Teck Whye Lane,Choa Chu Kang,1.379865,103.75388,100,8506
