id,estate,town,school,km,car_am_min,pt_am_min,adv_am_min,car_pm_min,pt_pm_min,adv_pm_min,adv_day_min,depart_car,depart_pt,arrive_car,arrive_pt,pt_walk_min,pt_wait_min,pt_transfers,car_raw_am
1,Choa Chu Kang – Choa Chu Kang Crescent,Choa Chu Kang,Ngee Ann Secondary School,23.77,58.9,125.8,66.9,53.6,120.7,67.1,134.0,06:31,05:24,16:54,18:01,43.0,3.9,1,39.9
2,Toa Payoh – Joo Seng Road,Toa Payoh,Westwood Secondary School,19.96,51.3,83.4,32.1,45.6,81.5,35.9,68.0,06:39,06:07,16:46,17:22,25.9,7.6,2,34.3
3,Central Area – Upper Cross Street,Central Area,Hougang Secondary School,11.25,32.4,36.0,3.6,28.5,37.6,9.1,12.7,06:58,06:54,16:28,16:38,4.6,2.9,1,20.3
4,Sengkang – Fernvale Link,Sengkang,Yuan Ching Secondary School,18.52,58.7,85.2,26.5,48.9,84.4,35.5,62.0,06:31,06:05,16:49,17:24,19.8,10.0,2,39.8
5,Tengah – Sungei Tengah Road,Tengah,School Of The Arts,16.41,49.3,90.0,40.7,41.8,81.5,39.7,80.4,06:41,06:00,16:42,17:22,43.7,6.1,2,32.8
6,Jurong West – Jurong West Street 61,Jurong West,Admiralty Secondary School,16.52,50.8,68.1,17.3,43.6,61.3,17.7,35.0,06:39,06:22,16:44,17:01,13.7,8.3,2,33.9
7,Bukit Merah – Redhill Close,Bukit Merah,Chij Saint Joseph'S Convent,14.98,46.0,58.5,12.5,40.1,60.7,20.6,33.1,06:44,06:32,16:40,17:01,12.2,6.7,2,30.4
8,Kallang/Whampoa – Lorong 3 Geylang,Kallang/Whampoa,Chij Our Lady Of Good Counsel,5.16,22.6,46.6,24.0,19.8,41.1,21.3,45.3,07:07,06:43,16:20,16:41,17.9,7.5,1,13.0
9,Tampines – Tampines Street 21,Tampines,Anderson Secondary School,11.29,41.7,103.4,61.7,34.7,91.0,56.3,118.0,06:48,05:47,16:35,17:31,46.9,8.6,2,27.2
10,Tengah – Sungei Tengah Road,Tengah,New Town Secondary School,10.01,38.9,83.2,44.3,32.1,66.6,34.5,78.8,06:51,06:07,16:32,17:07,35.6,9.7,2,25.1
11,Jurong East – Jurong East Street 21,Jurong East,Raffles Institution,10.91,33.5,57.8,24.3,31.3,61.1,29.8,54.1,06:56,06:32,16:31,17:01,21.6,5.7,2,21.1
12,Jurong West – Jurong West Street 91,Jurong West,Pasir Ris Crest Secondary School,30.21,71.7,100.7,29.0,61.3,92.1,30.8,59.8,06:18,05:49,17:01,17:32,26.1,2.0,1,49.4
13,Punggol – Punggol Field,Punggol,Presbyterian High School,7.4,31.5,58.1,26.6,26.7,52.4,25.7,52.3,06:58,06:32,16:27,16:52,9.0,9.7,2,19.6
15,Punggol – Northshore Drive,Punggol,Cedar Girls' Secondary School,9.86,37.0,48.0,11.0,32.4,51.4,19.0,30.0,06:53,06:42,16:32,16:51,24.3,4.0,1,23.7
16,Woodlands – Woodlands Street 83,Woodlands,Methodist Girls' School,12.23,45.1,67.8,22.7,32.7,68.1,35.4,58.1,06:45,06:22,16:33,17:08,33.2,5.5,2,29.7
17,Kallang/Whampoa – Lorong 3 Geylang,Kallang/Whampoa,Singapore Chinese Girls' School,5.17,19.6,29.8,10.2,20.1,28.4,8.3,18.5,07:10,07:00,16:20,16:28,15.8,2.6,1,10.8
18,Geylang – Aljunied Avenue 2,Geylang,Naval Base Secondary School,12.47,43.5,54.3,10.8,36.7,62.1,25.4,36.2,06:46,06:36,16:37,17:02,27.3,4.0,1,28.5
19,Bedok – Bedok South Avenue 2,Bedok,Peirce Secondary School,12.6,40.2,71.8,31.6,35.6,99.4,63.8,95.4,06:50,06:18,16:36,17:39,37.3,6.2,2,26.1
20,Punggol – Punggol Road,Punggol,Singapore Sports School,12.98,36.7,67.3,30.6,33.2,67.1,33.9,64.5,06:53,06:23,16:33,17:07,13.1,10.6,2,23.5
21,Sengkang – Fernvale Road,Sengkang,Changkat Changi Secondary School,10.52,38.3,64.4,26.1,31.7,60.4,28.7,54.8,06:52,06:26,16:32,17:00,18.1,6.7,2,24.7
22,Sembawang – Canberra Street,Sembawang,Yuhua Secondary School,16.45,58.3,69.5,11.2,50.8,63.3,12.5,23.7,06:32,06:20,16:51,17:03,16.0,6.1,2,39.5
23,Tengah – Tengah Garden Avenue,Tengah,Chij Saint Nicholas Girls' School,11.49,45.2,89.4,44.2,40.6,82.4,41.8,86.0,06:45,06:01,16:41,17:22,25.5,7.5,2,29.8
24,Sengkang – Fernvale Road,Sengkang,Victoria School,11.08,43.5,81.4,37.9,37.3,75.6,38.3,76.2,06:46,06:09,16:37,17:16,18.9,10.0,2,28.5
25,Tengah – Sungei Tengah Road,Tengah,Raffles Institution,13.18,43.9,99.9,56.0,39.7,84.5,44.8,100.8,06:46,05:50,16:40,17:24,35.8,6.8,2,28.8
26,Woodlands – Woodlands Drive 75,Woodlands,Kranji Secondary School,9.09,35.5,46.8,11.3,32.4,35.7,3.3,14.6,06:54,06:43,16:32,16:36,15.5,4.8,1,22.6
27,Sengkang – Fernvale Link,Sengkang,Zhenghua Secondary School,12.64,43.2,90.8,47.6,40.6,86.2,45.6,93.2,06:47,05:59,16:41,17:26,21.5,5.6,2,28.3
28,Tengah – Sungei Tengah Road,Tengah,Westwood Secondary School,4.22,24.8,43.0,18.2,21.6,44.8,23.2,41.4,07:05,06:47,16:22,16:45,18.3,0.0,0,14.7
29,Woodlands – Marsiling Rise,Woodlands,Assumption English School,7.92,29.7,48.9,19.2,29.0,49.6,20.6,39.8,07:00,06:41,16:29,16:50,12.0,6.3,2,18.3
30,Jurong East – Teban Gardens Road,Jurong East,Chua Chu Kang Secondary School,7.06,32.4,61.0,28.6,27.9,47.7,19.8,48.4,06:58,06:29,16:28,16:48,17.7,5.6,1,20.3
31,Bishan – Bishan Street 22,Bishan,Woodgrove Secondary School,9.3,33.1,38.9,5.8,31.4,47.5,16.1,21.9,06:57,06:51,16:31,16:48,15.4,5.1,1,20.8
32,Central Area – Upper Cross Street,Central Area,Saint Joseph'S Institution,4.65,21.3,31.8,10.5,19.7,31.2,11.5,22.0,07:09,06:58,16:20,16:31,15.9,0.0,0,12.1
33,Tengah – Sungei Tengah Road,Tengah,Commonwealth Secondary School,7.47,33.2,66.2,33.0,30.0,63.9,33.9,66.9,06:57,06:24,16:30,17:04,39.0,5.5,2,20.9
34,Tengah – Sungei Tengah Road,Tengah,Hua Yi Secondary School,4.73,25.9,63.1,37.2,22.6,64.1,41.5,78.7,07:04,06:27,16:23,17:04,20.5,3.8,1,15.5
35,Choa Chu Kang – Choa Chu Kang North 6,Choa Chu Kang,Serangoon Secondary School,17.38,57.0,83.3,26.3,51.2,76.8,25.6,51.9,06:33,06:07,16:51,17:17,15.3,9.9,2,38.5
36,Tengah – Sungei Tengah Road,Tengah,Yishun Town Secondary School,13.02,48.2,109.2,61.0,42.1,90.6,48.5,109.5,06:42,05:41,16:42,17:31,69.9,4.7,2,32.0
37,Jurong West – Jurong West Street 91,Jurong West,Yuying Secondary School,22.42,59.5,88.7,29.2,51.5,82.1,30.6,59.8,06:30,06:01,16:52,17:22,27.6,6.5,2,40.4
38,Sembawang – Canberra Street,Sembawang,Nanyang Girls' High School,13.35,52.8,67.3,14.5,45.1,71.4,26.3,40.8,06:37,06:23,16:45,17:11,24.6,6.9,2,35.4
39,Yishun – Yishun Street 22,Yishun,Unity Secondary School,10.89,45.5,41.8,-3.7,39.7,38.7,-1.0,-4.7,06:44,06:48,16:40,16:39,11.5,9.0,2,30.0
40,Tengah – Sungei Tengah Road,Tengah,Regent Secondary School,2.83,18.4,54.9,36.5,17.0,54.9,37.9,74.4,07:12,06:35,16:17,16:55,54.9,0.0,0,9.9
41,Serangoon – Serangoon Avenue 3,Serangoon,Greendale Secondary School,6.68,28.1,40.1,12.0,26.4,40.0,13.6,25.6,07:02,06:50,16:26,16:40,21.1,4.8,1,17.1
