id,estate,town,school,km,car_am_min,pt_am_min,adv_am_min,car_pm_min,pt_pm_min,adv_pm_min,adv_day_min,depart_car,depart_pt,arrive_car,arrive_pt,pt_walk_min,pt_wait_min,pt_transfers,car_raw_am,car_am_min_old135
1,Choa Chu Kang – Choa Chu Kang Crescent,Choa Chu Kang,Ngee Ann Secondary School,23.77,51.9,125.8,73.9,53.6,120.7,67.1,141.0,06:38,05:24,16:54,18:01,43.0,3.9,1,39.9,58.9
2,Toa Payoh – Joo Seng Road,Toa Payoh,Westwood Secondary School,19.96,45.3,83.4,38.1,45.6,81.5,35.9,74.0,06:45,06:07,16:46,17:22,25.9,7.6,2,34.3,51.3
3,Central Area – Upper Cross Street,Central Area,Hougang Secondary School,11.25,28.9,36.0,7.1,28.5,37.6,9.1,16.2,07:01,06:54,16:28,16:38,4.6,2.9,1,20.3,32.4
4,Sengkang – Fernvale Link,Sengkang,Yuan Ching Secondary School,18.52,51.8,85.2,33.4,48.9,84.4,35.5,68.9,06:38,06:05,16:49,17:24,19.8,10.0,2,39.8,58.7
5,Tengah – Sungei Tengah Road,Tengah,School Of The Arts,16.41,43.5,90.0,46.5,41.8,81.5,39.7,86.2,06:46,06:00,16:42,17:22,43.7,6.1,2,32.8,49.3
6,Jurong West – Jurong West Street 61,Jurong West,Admiralty Secondary School,16.52,44.8,68.1,23.3,43.6,61.3,17.7,41.0,06:45,06:22,16:44,17:01,13.7,8.3,2,33.9,50.8
7,Bukit Merah – Redhill Close,Bukit Merah,Chij Saint Joseph'S Convent,14.98,40.7,58.5,17.8,40.1,60.7,20.6,38.4,06:49,06:32,16:40,17:01,12.2,6.7,2,30.4,46.0
8,Kallang/Whampoa – Lorong 3 Geylang,Kallang/Whampoa,Chij Our Lady Of Good Counsel,5.16,20.3,46.6,26.3,19.8,41.1,21.3,47.6,07:10,06:43,16:20,16:41,17.9,7.5,1,13.0,22.6
9,Tampines – Tampines Street 21,Tampines,Anderson Secondary School,11.29,37.0,103.4,66.4,34.7,91.0,56.3,122.7,06:53,05:47,16:35,17:31,46.9,8.6,2,27.2,41.7
10,Tengah – Sungei Tengah Road,Tengah,New Town Secondary School,10.01,34.5,83.2,48.7,32.1,66.6,34.5,83.2,06:56,06:07,16:32,17:07,35.6,9.7,2,25.1,38.9
11,Jurong East – Jurong East Street 21,Jurong East,Raffles Institution,10.91,29.8,57.8,28.0,31.3,61.1,29.8,57.8,07:00,06:32,16:31,17:01,21.6,5.7,2,21.1,33.5
12,Jurong West – Jurong West Street 91,Jurong West,Pasir Ris Crest Secondary School,30.21,63.0,100.7,37.7,61.3,92.1,30.8,68.5,06:27,05:49,17:01,17:32,26.1,2.0,1,49.4,71.7
13,Punggol – Punggol Field,Punggol,Presbyterian High School,7.4,28.0,58.1,30.1,26.7,52.4,25.7,55.8,07:02,06:32,16:27,16:52,9.0,9.7,2,19.6,31.5
