id,estate,town,school,km,car_am_min,pt_am_min,adv_am_min,car_pm_min,pt_pm_min,adv_pm_min,adv_day_min,depart_car,depart_pt,arrive_car,arrive_pt,pt_walk_min,pt_wait_min,pt_transfers,car_raw_am,car_am_min_old135
1,Bukit Timah – Toh Yi Dr (1),Bukit Timah,Orchid Park Secondary School,11.22,39.5,93.9,54.4,40.3,104.5,64.2,118.6,06:50,05:56,16:40,17:44,33.8,10.2,2,29.4,44.7
2,Sembawang – Sembawang Ave (2),Sembawang,Zhenghua Secondary School,7.48,26.4,44.3,17.9,26.6,44.2,17.6,35.5,07:04,06:46,16:27,16:44,14.7,6.5,2,18.2,29.6
3,Toa Payoh – Lor 1 Toa Payoh (1),Toa Payoh,Chij St. Joseph'S Convent,8.45,30.9,57.9,27.0,29.7,52.7,23.0,50.0,06:59,06:32,16:30,16:53,6.5,3.4,1,22.0,34.7
4,Geylang – Circuit Rd (3),Geylang,St. Hilda'S Secondary School,6.07,19.9,31.4,11.5,22.8,32.4,9.6,21.1,07:10,06:59,16:23,16:32,11.5,7.6,2,12.7,22.1
5,Tampines – Tampines St 45,Tampines,Yishun Secondary School,15.88,42.7,84.1,41.4,41.7,77.3,35.6,77.0,06:47,06:06,16:42,17:17,19.2,5.2,1,32.1,48.3
6,Tampines – Tampines St 62,Tampines,Tanjong Katong Girls' School,8.01,29.0,50.1,21.1,28.0,50.9,22.9,44.0,07:01,06:40,16:28,16:51,16.9,8.2,2,20.4,32.5
7,Hougang – Tampines Rd (1),Hougang,Admiralty Secondary School,18.74,46.7,70.7,24.0,44.8,65.7,20.9,44.9,06:43,06:19,16:45,17:06,25.0,4.6,1,35.5,52.9
8,Tengah – Tengah Rd (3),Tengah,Bukit View Secondary School,14.4,40.0,104.4,64.4,36.5,117.2,80.7,145.1,06:50,05:46,16:36,17:57,32.5,6.5,2,29.8,45.2
9,Bukit Panjang – Senja Rd,Bukit Panjang,Nanyang Girls' High School,7.55,27.2,39.6,12.4,25.0,41.9,16.9,29.3,07:03,06:50,16:25,16:42,27.3,0.0,0,18.9,30.5
10,Bukit Merah – Jln Bt Merah,Bukit Merah,Unity Secondary School,15.91,44.1,48.9,4.8,46.1,51.6,5.5,10.3,06:46,06:41,16:46,16:52,12.5,4.7,2,33.3,50.0
11,Ang Mo Kio – Ang Mo Kio Ave 10 (2),Ang Mo Kio,Yishun Secondary School,7.58,28.6,41.0,12.4,29.0,38.4,9.4,21.8,07:01,06:49,16:29,16:38,18.6,4.1,1,20.1,32.1
12,Woodlands – Woodlands St 41,Woodlands,Northlight School,15.24,38.5,55.6,17.1,40.6,63.0,22.4,39.5,06:52,06:34,16:41,17:03,12.9,3.5,1,28.5,43.5
13,Geylang – Cassia Cres,Geylang,Singapore Chinese Girls' School,6.51,22.5,36.0,13.5,23.9,34.3,10.4,23.9,07:08,06:54,16:24,16:34,11.8,6.1,2,14.9,25.1
14,Hougang – Hougang St 13,Hougang,Presbyterian High School,9.55,28.4,38.4,10.0,27.9,38.0,10.1,20.1,07:02,06:52,16:28,16:38,10.7,3.2,1,19.9,31.9
15,Kallang/Whampoa – Jln Batu,Kallang/Whampoa,"School Of Science And Technology, Singapore",12.24,36.5,57.2,20.7,35.9,50.4,14.5,35.2,06:54,06:33,16:36,16:50,14.8,9.2,2,26.8,41.2
16,Sembawang – Montreal Link,Sembawang,Bukit Panjang Govt. High School,12.31,40.5,111.3,70.8,41.3,85.9,44.6,115.4,06:50,05:39,16:41,17:26,40.9,6.2,2,30.2,45.8
17,Yishun – Yishun Ring Rd (2),Yishun,Peicai Secondary School,8.41,34.3,57.5,23.2,35.8,57.1,21.3,44.5,06:56,06:32,16:36,16:57,25.4,5.8,2,24.9,38.6
