school,postal,lat,lon,address
Admiralty Secondary School,737916,1.445890689109919,103.8023981965959,31 WOODLANDS CRESCENT ADMIRALTY SECONDARY SCHOOL SINGAPORE 737916
Ahmad Ibrahim Secondary School,768928,1.436059753688065,103.8297186900766,751 YISHUN AVENUE 7 AHMAD IBRAHIM SECONDARY SCHOOL SINGAPORE 768928
Anderson Secondary School,569206,1.374340017011785,103.8515541070679,10 ANG MO KIO STREET 53 ANDERSON SECONDARY SCHOOL SINGAPORE 569206
Ang Mo Kio Secondary School,569362,1.367337101710713,103.8421549736715,6 ANG MO KIO STREET 22 ANG MO KIO SECONDARY SCHOOL SINGAPORE 569362
Anglican High School,487012,1.330581262051284,103.9410825130811,"600 UPPER CHANGI ROAD ALL SAINTS' CHURCH, SINGAPORE SINGAPORE 487012"
Anglo-Chinese School (Barker Road),309919,1.319616491513279,103.8357726899882,60 BARKER ROAD ANGLO-CHINESE SCHOOL (BARKER ROAD) SINGAPORE 309919
Assumption English School,678117,1.368381606628573,103.766687526556,622 UPPER BUKIT TIMAH ROAD ASSUMPTION ENGLISH SCHOOL SINGAPORE 678117
Assumption Pathway School,679697,1.369670704322713,103.7659591305809,30 CASHEW ROAD ASSUMPTION PATHWAY SCHOOL SINGAPORE 679697
Bartley Secondary School,538403,1.339954155878111,103.8828062117046,10 JALAN BUNGA RAMPAI BARTLEY SECONDARY SCHOOL SINGAPORE 538403
Beatty Secondary School,318990,1.341790284928019,103.8522808423451,1 TOA PAYOH NORTH BEATTY SECONDARY SCHOOL SINGAPORE 318990
Bedok Green Secondary School,469722,1.33451947288432,103.9350283833453,360 BEDOK NORTH AVENUE 3 BEDOK GREEN SECONDARY SCHOOL SINGAPORE 469722
Bedok South Secondary School,468585,1.325136551591829,103.9509891392604,1 JALAN LANGGAR BEDOK BEDOK SOUTH SECONDARY SCHOOL SINGAPORE 468585
Bedok View Secondary School,469293,1.324157040296861,103.9437762450238,6 BEDOK SOUTH AVENUE 3 BEDOK VIEW SECONDARY SCHOOL SINGAPORE 469293
Bendemeer Secondary School,327919,1.324611113079975,103.8609702844009,1 SAINT WILFRED ROAD BENDEMEER SECONDARY SCHOOL SINGAPORE 327919
Boon Lay Secondary School,648354,1.34272216334335,103.7018914539119,11 JURONG WEST STREET 65 BOON LAY SECONDARY SCHOOL SINGAPORE 648354
Bowen Secondary School,547529,1.3703599443621,103.877659577677,2 LORONG NAPIRI BOWEN SECONDARY SCHOOL SINGAPORE 547529
Broadrick Secondary School,399935,1.307050611234331,103.886917922608,61 DAKOTA CRESCENT BROADRICK SECONDARY SCHOOL SINGAPORE 399935
Bukit Batok Secondary School,658962,1.348491110790525,103.7408737048192,50 BUKIT BATOK WEST AVENUE 8 BUKIT BATOK SECONDARY SCHOOL SINGAPORE 658962
Bukit Merah Secondary School,159050,1.285692830642895,103.8134389293932,10 LENGKOK BAHRU BUKIT MERAH SECONDARY SCHOOL SINGAPORE 159050
Bukit Panjang Govt. High School,689809,1.382242433600432,103.7383612218687,7 CHOA CHU KANG AVENUE 4 BUKIT PANJANG GOVERNMENT HIGH SCHOOL SINGAPORE 689809
Bukit View Secondary School,659633,1.345733055429413,103.7522265939839,16 BUKIT BATOK STREET 21 BUKIT VIEW SECONDARY SCHOOL SINGAPORE 659633
Canberra Secondary School,757699,1.453190863159718,103.8142035838178,51 SEMBAWANG DRIVE CANBERRA SECONDARY SCHOOL SINGAPORE 757699
Cedar Girls' Secondary School,349692,1.333758002163343,103.8739330648855,1 CEDAR AVENUE CEDAR GIRLS' SECONDARY SCHOOL SINGAPORE 349692
Changkat Changi Secondary School,529894,1.339506300728762,103.9532455255639,23 SIMEI STREET 3 CHANGKAT CHANGI SECONDARY SCHOOL SINGAPORE 529894
Chij Katong Convent,449150,1.306442680348951,103.9171443500279,346 MARINE TERRACE CHIJ KATONG CONVENT SINGAPORE 449150
Chij Secondary (Toa Payoh),319764,1.332460799483043,103.8432716250826,626 LORONG 1 TOA PAYOH CHIJ SECONDARY (TOA PAYOH) SINGAPORE 319764
Chij St. Joseph'S Convent,548595,1.39175222260368,103.9024649915428,62 SENGKANG EAST WAY CHIJ SAINT JOSEPH'S CONVENT SINGAPORE 548595
Chij St. Theresa'S Convent,99138,1.275351775100545,103.8224407016418,160 LOWER DELTA ROAD CHIJ SAINT THERESA'S CONVENT SINGAPORE 099138
